Jurisdicción,Total de población,Población en viviendas particulares,Población en viviendas colectivas (¹),Población en situación de calle(²),Varones Total de población,Varones Población en viviendas particulares,Varones Población en viviendas colectivas (¹),VaronesPoblación en situación de calle(²),Mujeres Total de población,Mujeres Población en viviendas particulares,Mujeres Población en viviendas colectivas (¹),Mujeres Población en situación de calle(²)
Total del país,45892285,45618787,267793,5705,22186791,22010881,171436,4474,23705494,23607906,96357,1231
Ciudad Autónoma de Buenos Aires,3121707,3095454,23850,2403,1439873,1428781,9216,1876,1681834,1666673,14634,527
Buenos Aires,17523996,17408906,113664,1426,8470569,8393419,76030,1120,9053427,9015487,37634,306
Catamarca,429562,427625,1909,28,210464,209088,1365,11,219098,218537,544,17
Chaco,1129606,1124603,4898,105,547655,543912,3652,91,581951,580691,1246,14
Chubut,592621,589454,3123,44,291412,289292,2078,42,301209,300162,1045,2
Córdoba,3840905,3812064,28705,136,1856395,1838815,17469,111,1984510,1973249,11236,25
Corrientes,1212696,1209671,2958,67,589009,586788,2168,53,623687,622883,790,14
Entre Ríos,1425578,1415097,10315,166,693547,687336,6099,112,732031,727761,4216,54
Formosa,607419,605507,1912,///,296810,295291,1519,///,310609,310216,393,///
Jujuy,811611,809364,2165,82,393590,391745,1763,82,418021,417619,402,-
La Pampa,361859,359193,2656,10,177858,176291,1562,5,184001,182902,1094,5
La Rioja,383865,382453,1398,14,187348,186266,1075,7,196517,196187,323,7
Mendoza,2043540,2030773,12636,131,989578,980720,8751,107,1053962,1050053,3885,24
Misiones,1278873,1273347,5452,74,626076,622211,3803,62,652797,651136,1649,12
Neuquén,710814,708578,2223,13,349088,347552,1523,13,361726,361026,700,-
Rio Negro,750768,747697,2997,74,366857,364886,1917,54,383911,382811,1080,20
Salta,1441351,1434225,6872,254,702839,696842,5800,197,738512,737383,1072,57
San Juan,822853,819445,3357,51,401201,398601,2550,50,421652,420844,807,1
San Luis,542069,540548,1517,4,265327,264306,1018,3,276742,276242,499,1
Santa Cruz,337226,335677,1462,87,167133,165865,1188,80,170093,169812,274,7
Santa Fe,3544908,3519059,25450,399,1710259,1695274,14665,320,1834649,1823785,10785,79
Santiago del Estero,1060906,1057752,3099,55,521543,519158,2355,30,539363,538594,744,25
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",185732,184958,774,///,92340,91742,598,///,93392,93216,176,///
Tucumán,1731820,1727337,4401,82,840020,836700,3272,48,891800,890637,1129,34
